ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	BORROWING	NOTE
1218	Akawaio	MOUNTAIN	wɨʔ	wɨʔ	w ɨ ʔ	w ɨ - ʔ -	412		
1219	Apalaí	MOUNTAIN	ɨpɨ	ɨpɨ	ɨ p ɨ	- ɨ - p ɨ	412		
1220	Arara	MOUNTAIN	idɨbrɨ	idɨbrɨ	i d ɨ b r ɨ	i d ɨ b r ɨ	417		
1221	Bakairi	MOUNTAIN	iwɨ	iwɨ	i w ɨ	- i - w ɨ	412		
1222	Hixkaryána	MOUNTAIN	ɨhɨ	ɨhɨ	ɨ h ɨ	- ɨ - h ɨ	412		
1223	Ikpeng	MOUNTAIN	elan	elan	e l a n	e l a n	414		
1224	Ingarikó	MOUNTAIN	wɨʔ	wɨʔ	w ɨ ʔ	w ɨ - ʔ -	412		
1225	Kari'ña	MOUNTAIN	wɨpɨ	wɨpɨ	w ɨ p ɨ	w ɨ - p ɨ	412		
1226	Karijona	MOUNTAIN	hɨbɨ	hɨbɨ	h ɨ b ɨ	h ɨ - b ɨ	412		
1227	Kuikuro	MOUNTAIN	tehu õ(n)-tɨhɨɣɨ	tehu õtɨhɨɣɨ	t e h u + õ t ɨ h ɨ ɣ ɨ	t e h u + õ t ɨ h ɨ ɣ ɨ	415		
1228	Macushi	MOUNTAIN	wɨʔ	wɨʔ	w ɨ ʔ	w ɨ - ʔ -	412		
1229	Mapoyo	MOUNTAIN	jutu	jutu	j u t u	j u - t u	413		
1230	Panare	MOUNTAIN	iʔ	iʔ	i ʔ	- i - ʔ -	412		
1231	Pemón	MOUNTAIN	wɨk	wɨk	w ɨ k	w ɨ - k -	412		
1232	Tamanaku	MOUNTAIN	tupuiri	tupuiri	t u p u i r i	t u p u i r i	419		
1233	Tiriyó	MOUNTAIN	pɨɨ	pɨɨ	p ɨ ɨ	p ɨ - - ɨ	412		
1234	Waimiri-Atroari	MOUNTAIN	wɨpɨ	wɨpɨ	w ɨ p ɨ	w ɨ - p ɨ	412		
1235	Waiwai	MOUNTAIN	ɨɨɸɨ	ɨɨɸɨ	ɨ ɨ ɸ ɨ	- ɨ ɨ ɸ ɨ	412		
1236	Wayana	MOUNTAIN	ɨpɨ	ɨpɨ	ɨ p ɨ	- ɨ - p ɨ	412		
1237	Werikyana	MOUNTAIN	uʔkutuʔ	uʔkutuʔ	u ʔ k u t u ʔ	u ʔ k u t u ʔ	418		
1238	Yawarana	MOUNTAIN	juttu	juttu	j u t t u	j u t t u	413		
1239	Ye'kwana	MOUNTAIN	hɨɨ	hɨɨ	h ɨ ɨ	h ɨ - - ɨ	412		
1240	Yukpa	MOUNTAIN	owamptarɨ	owamptarɨ	o w a m p t a r ɨ	o w a m p t a r ɨ	416		
1241	Akawaio	MOUTH	mɨta	mɨta	m ɨ t a	m ɨ - - t a	420		
1242	Akuriyó	MOUTH	mɨɨta; ta	mɨɨta	m ɨ ɨ t a	m ɨ ɨ - t a	420		
1243	Akuriyó	MOUTH	mɨɨta; ta	ta	t a	- - - - t a	420		
1244	Apalaí	MOUTH	mɨʔta	mɨʔta	m ɨ ʔ t a	m ɨ - ʔ t a	420		
1245	Arara	MOUTH	po	po	p o	p o - -	421		
1246	Bakairi	MOUTH	ta	ta	t a	- - - - t a	420		
1247	Hixkaryána	MOUTH	mta	mta	m t a	- - - m t a	420		
1248	Ikpeng	MOUTH	pora; wora	pora	p o r a	p o r a	421		
1249	Ikpeng	MOUTH	pora; wora	wora	w o r a	w o r a	421		
1250	Ingarikó	MOUTH	mɨta	mɨta	m ɨ t a	m ɨ - - t a	420		
1251	Kari'ña	MOUTH	ɨnta	ɨnta	ɨ n t a	- ɨ - n t a	420		
1252	Karijona	MOUTH	mɨda	mɨda	m ɨ d a	m ɨ - - d a	420		
1253	Kuikuro	MOUTH	nta	nta	n t a	- - - n t a	420		
1254	Macushi	MOUTH	nta	nta	n t a	- - - n t a	420		
1255	Mapoyo	MOUTH	pota	pota	p o t a	p o t a	421		
1256	Panare	MOUTH	-nta	nta	n t a	- - - n t a	420		
1257	Pemón	MOUTH	mɨta	mɨta	m ɨ t a	m ɨ - - t a	420		
1258	Tamanaku	MOUTH	mta	mta	m t a	- - - m t a	420		
1259	Tiriyó	MOUTH	mɨta; nta	mɨta	m ɨ t a	m ɨ - - t a	420		
1260	Tiriyó	MOUTH	mɨta; nta	nta	n t a	- - - n t a	420		
1261	Waimiri-Atroari	MOUTH	pɨta	pɨta	p ɨ t a	p ɨ t a	421		
1262	Waiwai	MOUTH	mta	mta	m t a	- - - m t a	420		
1263	Wayana	MOUTH	mɨta	mɨta	m ɨ t a	m ɨ - - t a	420		
1264	Werikyana	MOUTH	mɨta	mɨta	m ɨ t a	m ɨ - - t a	420		
1265	Yawarana	MOUTH	pota	pota	p o t a	p o t a	421		
1266	Ye'kwana	MOUTH	nta	nta	n t a	- - - n t a	420		
1267	Yukpa	MOUTH	pota	pota	p o t a	p o t a	421		
1268	Akawaio	NAME	eseʔ	eseʔ	e s e ʔ	- e s e - ʔ -	422		
1269	Apalaí	NAME	eseʔ	eseʔ	e s e ʔ	- e s e - ʔ -	422		
1270	Arara	NAME	edet	edet	e d e t	- e d e - t -	422		
1271	Bakairi	NAME	ezedɨ	ezedɨ	e z e d ɨ	- e z e - d ɨ	422		
1272	Hixkaryána	NAME	osotɨ	osotɨ	o s o t ɨ	- o s o - t ɨ	422		
1273	Ikpeng	NAME	eret	eret	e r e t	- e r e - t -	422		
1274	Kari'ña	NAME	otɨ	otɨ	o t ɨ	- o t - - - ɨ	422		
1275	Karijona	NAME	esetɨ	esetɨ	e s e t ɨ	- e s e - t ɨ	422		
1276	Kuikuro	NAME	ititɨ	ititɨ	i t i t ɨ	- i t i - t ɨ	422		
1277	Macushi	NAME	eseʔ	eseʔ	e s e ʔ	- e s e - ʔ -	422		
1278	Mapoyo	NAME	jeetɨ	jeetɨ	j e e t ɨ	j e - e - t ɨ	422		
1279	Panare	NAME	it͡ʃeʔ	it͡ʃeʔ	i t͡ʃ e ʔ	- i t͡ʃ e - ʔ -	422		
1280	Pemón	NAME	esek	esek	e s e k	- e s e - k -	422		
1281	Tiriyó	NAME	eka	eka	e k a	e k a	423		
1282	Waimiri-Atroari	NAME	etatɨ	etatɨ	e t a t ɨ	- e t a - t ɨ	422		
1283	Waiwai	NAME	osotɨ	osotɨ	o s o t ɨ	- o s o - t ɨ	422		
1284	Wayana	NAME	əhet	əhet	ə h e t	- ə h e - t -	422		
1285	Werikyana	NAME	oso	oso	o s o	- o s o - - -	422		
1286	Yawarana	NAME	jasetti	jasetti	j a s e t t i	j a s e t t i	422		
1287	Ye'kwana	NAME	ətɨ	ətɨ	ə t ɨ	- ə t - - - ɨ	422		
1288	Yukpa	NAME	ese	ese	e s e	- e s e - - -	422		
1289	Akawaio	NECK	pɨmɨ	pɨmɨ	p ɨ m ɨ	- - - p ɨ m ɨ	424		
1290	Akuriyó	NECK	pɨʔmɨ	pɨʔmɨ	p ɨ ʔ m ɨ	p ɨ ʔ - - m ɨ	424		
1291	Apalaí	NECK	pɨmɨ	pɨmɨ	p ɨ m ɨ	- - - p ɨ m ɨ	424		
1292	Arara	NECK	demt͡ʃitpɨ	demt͡ʃitpɨ	d e m t͡ʃ i t p ɨ	- d e m t͡ʃ i t p ɨ	426		
1293	Bakairi	NECK	wɨmɨ	wɨmɨ	w ɨ m ɨ	- - - w ɨ m ɨ	424		
1294	Hixkaryána	NECK	hmɨ	hmɨ	h m ɨ	- - h - - m ɨ	424		
1295	Ikpeng	NECK	eremp	eremp	e r e m p	e r e m - - - p -	426		
1296	Ingarikó	NECK	pɨmɨ	pɨmɨ	p ɨ m ɨ	- - - p ɨ m ɨ	424		
1297	Kari'ña	NECK	pɨmɨ	pɨmɨ	p ɨ m ɨ	- - - p ɨ m ɨ	424		
1298	Karijona	NECK	ihɨmɨ	ihɨmɨ	i h ɨ m ɨ	- i h - ɨ m ɨ	424		
1299	Kuikuro	NECK	tiŋa	tiŋa	t i ŋ a	t i ŋ a	427		
1300	Macushi	NECK	ʔmɨ	ʔmɨ	ʔ m ɨ	- - ʔ - - m ɨ	424		
1301	Mapoyo	NECK	warə	warə	w a r ə	w a r - - - - - - ə	425		
1302	Panare	NECK	pɨmɨ	pɨmɨ	p ɨ m ɨ	- - - p ɨ m ɨ	424		
1303	Pemón	NECK	pumɨ	pumɨ	p u m ɨ	- - - p u m ɨ	424		
1304	Tamanaku	NECK	pume	pume	p u m e	- - - p u m e	424		
1305	Tiriyó	NECK	hpɨmɨ	hpɨmɨ	h p ɨ m ɨ	- - h p ɨ m ɨ	424		
1306	Waimiri-Atroari	NECK	pɨmɨ	pɨmɨ	p ɨ m ɨ	- - - p ɨ m ɨ	424		
1307	Waiwai	NECK	ɸɨmɨ	ɸɨmɨ	ɸ ɨ m ɨ	- - - ɸ ɨ m ɨ	424		
1308	Wayana	NECK	pɨmɨ	pɨmɨ	p ɨ m ɨ	- - - p ɨ m ɨ	424		
1309	Werikyana	NECK	ehɨmɨ	ehɨmɨ	e h ɨ m ɨ	- e h - ɨ m ɨ	424		
1310	Yawarana	NECK	warokərəni	warokərəni	w a r o k ə r ə n i	w a r o k ə r ə n i	425		
1311	Ye'kwana	NECK	hɨmɨ	hɨmɨ	h ɨ m ɨ	- - h - ɨ m ɨ	424		
1312	Yukpa	NECK	pɨmɨ	pɨmɨ	p ɨ m ɨ	- - - p ɨ m ɨ	424		
1313	Akawaio	NEW	emennaʔ	emennaʔ	e m e n n a ʔ	e m e n n a ʔ	429		
1314	Apalaí	NEW	kasena-to	kasenato	k a s e n a t o	k a s e n a t o	428		
1315	Bakairi	NEW	iwelo	iwelo	i w e l o	i w e l o	434		
1316	Hixkaryána	NEW	ʃeɲe-no	ʃeɲeno	ʃ e ɲ e n o	ʃ e ɲ e n o	431		
1317	Ikpeng	NEW	enu	enu	e n u	e n u	433		
1318	Kari'ña	NEW	aserɨ-me	aserɨme	a s e r ɨ m e	a s e r ɨ m e	430		
1319	Karijona	NEW	kaenano	kaenano	k a e n a n o	k a - e n a n o	428		
1320	Kuikuro	NEW	iɲiŋo	iɲiŋo	i ɲ i ŋ o	i ɲ i ŋ o	440		
1321	Macushi	NEW	amenan	amenan	a m e n a n	a m e - n a n	429		
1322	Mapoyo	NEW	sekarono	sekarono	s e k a r o n o	s e k a r o n o	439		
1323	Panare	NEW	piʔ	piʔ	p i ʔ	p i ʔ	437		
1324	Pemón	NEW	amennak	amennak	a m e n n a k	a m e n n a k	429		
1325	Tiriyó	NEW	kainan	kainan	k a i n a n	k a - i n a n -	428		
1326	Waimiri-Atroari	NEW	ase	ase	a s e	a s - - - - e	430		
1327	Waiwai	NEW	jaʃan	jaʃan	j a ʃ a n	j a ʃ a n	432		
1328	Wayana	NEW	ihjanu	ihjanu	i h j a n u	i h j a n u	435		
1329	Werikyana	NEW	isone	isone	i s o n e	i s o - n e -	429		
1330	Yawarana	NEW	jurari	jurari	j u r a r i	j u r a r i	438		
1331	Ye'kwana	NEW	eruwa-to	eruwato	e r u w a t o	e r u w a t o	436		
1332	Yukpa	NEW	kuʃpa	kuʃpa	k u ʃ p a	k u ʃ p a	441		
1333	Akawaio	NIGHT	ewarupə	ewarupə	e w a r u p ə	e w - a r u p ə	443		
1334	Akuriyó	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1335	Apalaí	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1336	Arara	NIGHT	kok	kok	k o k	k o - - - - k -	442		
1337	Bakairi	NIGHT	kopae	kopae	k o p a e	k o - - p a - e	442		
1338	Hixkaryána	NIGHT	kohsaja	kohsaja	k o h s a j a	k o h - s a j a	442		
1339	Ikpeng	NIGHT	kok	kok	k o k	k o - - - - k -	442		
1340	Ingarikó	NIGHT	ewarupɨ	ewarupɨ	e w a r u p ɨ	e w - a r u p ɨ	443		
1341	Kari'ña	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1342	Karijona	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1343	Kuikuro	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1344	Macushi	NIGHT	ewaron	ewaron	e w a r o n	e w - a r o n -	443		
1345	Mapoyo	NIGHT	koʔpa	koʔpa	k o ʔ p a	k o ʔ - p a - -	442		
1346	Panare	NIGHT	sɨpaawə	sɨpaawə	s ɨ p a a w ə	s ɨ p a a w ə	444		
1347	Pemón	NIGHT	waarɨpə	waarɨpə	w a a r ɨ p ə	- w a a r ɨ p ə	443		
1348	Tamanaku	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1349	Tiriyó	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1350	Waimiri-Atroari	NIGHT	kɨkɨ	kɨkɨ	k ɨ k ɨ	k ɨ - - - - k ɨ	442		
1351	Waiwai	NIGHT	kosoɸe	kosoɸe	k o s o ɸ e	k o - - s o ɸ e	442		
1352	Wayana	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1353	Werikyana	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1354	Yawarana	NIGHT	kohpa	kohpa	k o h p a	k o h - p a - -	442		
1355	Ye'kwana	NIGHT	koihai	koihai	k o i h a i	k o - i h a - i	442		
1356	Yukpa	NIGHT	koko	koko	k o k o	k o - - - - k o	442		
1357	Akawaio	NOSE	enna	enna	e n n a	- e - n - - n a	445		
1358	Akuriyó	NOSE	eunata	eunata	e u n a t a	- e u n a - t a	445		
1359	Apalaí	NOSE	ouna	ouna	o u n a	- o u n - - - a	445		
1360	Arara	NOSE	eŋna	eŋna	e ŋ n a	- e - ŋ - - n a	445		
1361	Bakairi	NOSE	ena	ena	e n a	- e - n - - - a	445		
1362	Hixkaryána	NOSE	owna	owna	o w n a	- o w n - - - a	445		
1363	Ikpeng	NOSE	eŋna	eŋna	e ŋ n a	- e - ŋ - - n a	445		
1364	Ingarikó	NOSE	euna	euna	e u n a	- e u n - - - a	445		
1365	Kari'ña	NOSE	enaʔta	enaʔta	e n a ʔ t a	- e - n a ʔ t a	445		
1366	Karijona	NOSE	ona	ona	o n a	- o - n - - - a	445		
1367	Kuikuro	NOSE	inata	inata	i n a t a	- i - n a - t a	445		
1368	Macushi	NOSE	euna	euna	e u n a	- e u n - - - a	445		
1369	Mapoyo	NOSE	jənna	jənna	j ə n n a	j ə - n - - n a	445		
1370	Panare	NOSE	əwa	əwa	ə w a	- ə w - - - - a	445		
1371	Pemón	NOSE	jeuna	jeuna	j e u n a	j e u n - - - a	445		
1372	Tamanaku	NOSE	onna	onna	o n n a	- o - n - - n a	445		
1373	Tiriyó	NOSE	oona	oona	o o n a	- o o n - - - a	445		
1374	Waimiri-Atroari	NOSE	nata	nata	n a t a	- - - n a - t a	445		
1375	Waiwai	NOSE	ewna	ewna	e w n a	- e w n - - - a	445		
1376	Wayana	NOSE	əmna	əmna	ə m n a	- ə m n - - - a	445		
1377	Werikyana	NOSE	owna	owna	o w n a	- o w n - - - a	445		
1378	Yawarana	NOSE	jena	jena	j e n a	j e - - - - n a	445		
1379	Ye'kwana	NOSE	ənna	ənna	ə n n a	- ə - n - - n a	445		
1380	Yukpa	NOSE	ena	ena	e n a	- e - n - - - a	445		
1381	Akawaio	NOT	pɨra	pɨra	p ɨ r a	- p ɨ r a	446		
1382	Akuriyó	NOT	-t͡ʃewa	t͡ʃewa	t͡ʃ e w a	t͡ʃ e w a	447		
1383	Apalaí	NOT	pɨra; -ra	pɨra	p ɨ r a	- p ɨ r a	446		
1384	Apalaí	NOT	pɨra; -ra	ra	r a	- - - r a	446		
1385	Arara	NOT	-pɨra; -pra	pra	p r a	- p - r a	446		
1386	Arara	NOT	-pɨra; -pra	pɨra	p ɨ r a	- p ɨ r a	446		
1387	Bakairi	NOT	-pa; -pa; -pɨra	pa	p a	- p - - a	446		
1388	Bakairi	NOT	-pa; -pa; -pɨra	pa	p a	- p - - a	446		
1389	Bakairi	NOT	-pa; -pa; -pɨra	pɨra	p ɨ r a	- p ɨ r a	446		
1390	Hixkaryána	NOT	pɨra; -hɨra	hɨra	h ɨ r a	- h ɨ r a	446		
1391	Hixkaryána	NOT	pɨra; -hɨra	pɨra	p ɨ r a	- p ɨ r a	446		
1392	Ikpeng	NOT	pra; wa	pra	p r a	- p - r a	446		
1393	Ikpeng	NOT	pra; wa	wa	w a	- w - - a	446		
1394	Ingarikó	NOT	pɨra	pɨra	p ɨ r a	- p ɨ r a	446		
1395	Kari'ña	NOT	-ʔpa	ʔpa	ʔ p a	- ʔ - p a	446		
1396	Karijona	NOT	-ha	ha	h a	- h - - a	446		
1397	Kuikuro	NOT	-la	la	l a	- - - l a	446		
1398	Macushi	NOT	pra	pra	p r a	- p - r a	446		
1399	Mapoyo	NOT	-ʔra	ʔra	ʔ r a	- ʔ - r a	446		
1400	Panare	NOT	-ʔka	ʔka	ʔ k a	ʔ k a	448		
1401	Pemón	NOT	pɨra	pɨra	p ɨ r a	- p ɨ r a	446		
1402	Tamanaku	NOT	ipura	ipura	i p u r a	i p u r a	446		
1403	Tiriyó	NOT	-sewa	sewa	s e w a	s e w a	447		
1404	Waimiri-Atroari	NOT	-ha	ha	h a	- h - - a	446		
1405	Waiwai	NOT	ɸɨra; -hra	hra	h r a	- h - r a	446		
1406	Waiwai	NOT	ɸɨra; -hra	ɸɨra	ɸ ɨ r a	- ɸ ɨ r a	446		
1407	Wayana	NOT	-ra	ra	r a	- - - r a	446		
1408	Werikyana	NOT	-pɨra; -hɨra	hɨra	h ɨ r a	- h ɨ r a	446		
1409	Werikyana	NOT	-pɨra; -hɨra	pɨra	p ɨ r a	- p ɨ r a	446		
1410	Yawarana	NOT	-pɨra	pɨra	p ɨ r a	- p ɨ r a	446		
1411	Ye'kwana	NOT	-ʔra	ʔra	ʔ r a	- ʔ - r a	446		
1412	Yukpa	NOT	pra	pra	p r a	- p - r a	446		
1413	Akuriyó	ONE	təinərə	təinərə	t ə i n ə r ə	t ə - - i n ə r ə -	449		
1414	Apalaí	ONE	toiro	toiro	t o i r o	t o - - i - - r o -	449		
1415	Arara	ONE	anane	anane	a n a n e	a n a n e	450		
1416	Bakairi	ONE	tokalə	tokalə	t o k a l ə	t o k a l ə	454		
1417	Hixkaryána	ONE	toweɲʃa	toweɲʃa	t o w e ɲ ʃ a	t o - w e ɲ - ʃ a -	449		
1418	Ikpeng	ONE	nane	nane	n a n e	- n a n e	450		
1419	Ingarikó	ONE	tewin	tewin	t e w i n	t e - w i n - - - -	449		
1420	Kari'ña	ONE	oʔwin	oʔwin	o ʔ w i n	- o ʔ w i n - - - -	449		
1421	Karijona	ONE	teɲi	teɲi	t e ɲ i	t e - - - ɲ - - i -	449		
1422	Kuikuro	ONE	aetsi	aetsi	a e t s i	a e t s i	453		
1423	Macushi	ONE	tiwin	tiwin	t i w i n	t i - w i n - - - -	449		
1424	Mapoyo	ONE	təhkenarɨ	təhkenarɨ	t ə h k e n a r ɨ	t ə h k e n a r ɨ	457		
1425	Panare	ONE	titjasa	titjasa	t i t j a s a	t i t j a s a	452		
1426	Pemón	ONE	təukin	təukin	t ə u k i n	t ə - - u - - k i n	449		
1427	Tamanaku	ONE	tewini	tewini	t e w i n i	t e - w i n - - i -	449		
1428	Tiriyó	ONE	təinken	təinken	t ə i n k e n	t ə - - i n - k e n	449		
1429	Waimiri-Atroari	ONE	awɨniheʔ	awɨniheʔ	a w ɨ n i h e ʔ	- a - w ɨ n i h e ʔ	449		
1430	Waiwai	ONE	t͡ʃewɲe	t͡ʃewɲe	t͡ʃ e w ɲ e	t͡ʃ e - w - ɲ - - e -	449		
1431	Wayana	ONE	pəkənatpə	pəkənatpə	p ə k ə n a t p ə	p ə k ə n a t p ə	451		
1432	Werikyana	ONE	tuwinarɨ	tuwinarɨ	t u w i n a r ɨ	t u - w i n a r ɨ -	449		
1433	Yawarana	ONE	enihpotonore	enihpotonore	e n i h p o t o n o r e	e n i h p o t o n o r e	455		
1434	Ye'kwana	ONE	tooni	tooni	t o o n i	t o - o - n - - i -	449		
1435	Yukpa	ONE	kuma	kuma	k u m a	k u m a	456		
1436	Akawaio	PATH	eʔma	eʔma	e ʔ m a	- e ʔ - m a	458		
1437	Akuriyó	PATH	əʔema	əʔema	ə ʔ e m a	- ə ʔ e m a	458		
1438	Apalaí	PATH	osema	osema	o s e m a	- o s e m a	458		
1439	Arara	PATH	enma	enma	e n m a	- e n - m a	458		
1440	Bakairi	PATH	ə̃wã	ə̃wã	ə̃ w ã	- ə̃ - - w ã	458		
1441	Hixkaryána	PATH	asama	asama	a s a m a	- a s a m a	458		
1442	Ikpeng	PATH	anma	anma	a n m a	- a n - m a	458		
1443	Ingarikó	PATH	eʔma	eʔma	e ʔ m a	- e ʔ - m a	458		
1444	Kari'ña	PATH	ema	ema	e m a	- e - - m a	458		
1445	Karijona	PATH	esema	esema	e s e m a	- e s e m a	458		
1446	Kuikuro	PATH	ama	ama	a m a	- a - - m a	458		
1447	Macushi	PATH	eʔma	eʔma	e ʔ m a	- e ʔ - m a	458		
1448	Mapoyo	PATH	eema	eema	e e m a	- e - e m a	458		
1449	Panare	PATH	t͡ʃɨma	t͡ʃɨma	t͡ʃ ɨ m a	t͡ʃ ɨ - - m a	458		
1450	Pemón	PATH	eʔma	eʔma	e ʔ m a	- e ʔ - m a	458		
1451	Tamanaku	PATH	at͡ʃema	at͡ʃema	a t͡ʃ e m a	- a t͡ʃ e m a	458		
1452	Tiriyó	PATH	əema	əema	ə e m a	- ə - e m a	458		
1453	Waimiri-Atroari	PATH	wuma	wuma	w u m a	w u - - m a	458		
1454	Waiwai	PATH	esama	esama	e s a m a	- e s a m a	458		
1455	Wayana	PATH	əhema	əhema	ə h e m a	- ə h e m a	458		
1456	Werikyana	PATH	esma	esma	e s m a	- e s - m a	458		
1457	Yawarana	PATH	at͡ʃima	at͡ʃima	a t͡ʃ i m a	- a t͡ʃ i m a	458		
1458	Ye'kwana	PATH	əəma	əəma	ə ə m a	- ə - ə m a	458		
1459	Yukpa	PATH	osema	osema	o s e m a	- o s e m a	458		
1460	Akawaio	PERSON	mumu	mumu	m u m u	m u - m - - u	459		
1461	Akuriyó	PERSON	muumuku; mmuku	mmuku	m m u k u	m - - m u k u	459		
1462	Akuriyó	PERSON	muumuku; mmuku	muumuku	m u u m u k u	m u u m u k u	459		
1463	Apalaí	PERSON	mumu	mumu	m u m u	m u - m - - u	459		
1464	Arara	PERSON	mu	mu	m u	- - - m - - u	459		
1465	Bakairi	PERSON	mu	mu	m u	- - - m - - u	459		
1466	Hixkaryána	PERSON	mu	mu	m u	- - - m - - u	459		
1467	Ikpeng	PERSON	mu	mu	m u	- - - m - - u	459		
1468	Ingarikó	PERSON	muku; mumu	muku	m u k u	- - - m u k u	459		
1469	Ingarikó	PERSON	muku; mumu	mumu	m u m u	m u - m - - u	459		
1470	Kari'ña	PERSON	ʔmu	ʔmu	ʔ m u	ʔ - - m - - u	459		
1471	Karijona	PERSON	mugu	mugu	m u g u	- - - m u g u	459		
1472	Kuikuro	PERSON	mu; muku	mu	m u	- - - m - - u	459		
1473	Kuikuro	PERSON	mu; muku	muku	m u k u	- - - m u k u	459		
1474	Macushi	PERSON	muku	muku	m u k u	- - - m u k u	459		
1475	Mapoyo	PERSON	ne	ne	n e	n - e	461		
1476	Panare	PERSON	nuwan	nuwan	n u w a n	n u w a n	463		
1477	Pemón	PERSON	mumu; muku	muku	m u k u	- - - m u k u	459		
1478	Pemón	PERSON	mumu; muku	mumu	m u m u	m u - m - - u	459		
1479	Tamanaku	PERSON	emuru	emuru	e m u r u	e m u r u	460		
1480	Tiriyó	PERSON	mmuku	mmuku	m m u k u	m - - m u k u	459		
1481	Waimiri-Atroari	PERSON	nirikɨ	nirikɨ	n i r i k ɨ	n i r i k ɨ	464		
1482	Waiwai	PERSON	mumu	mumu	m u m u	m u - m - - u	459		
1483	Wayana	PERSON	mumuku	mumuku	m u m u k u	m u - m u k u	459		
1484	Werikyana	PERSON	mɨre	mɨre	m ɨ r e	- m ɨ r e	460		
1485	Yawarana	PERSON	muku	muku	m u k u	- - - m u k u	459		
1486	Ye'kwana	PERSON	nne	nne	n n e	n n e	461		
1487	Yukpa	PERSON	wɨʃɨnɨ	wɨʃɨnɨ	w ɨ ʃ ɨ n ɨ	w ɨ ʃ ɨ n ɨ	462		
1488	Akawaio	RAINING OR RAIN	tuna	tuna	t u n a	t u - n a	466		
1489	Akuriyó	RAINING OR RAIN	konopo	konopo	k o n o p o	k o n - - - - - o p o - -	465		
1490	Apalaí	RAINING OR RAIN	konopo	konopo	k o n o p o	k o n - - - - - o p o - -	465		
1491	Arara	RAINING OR RAIN	koŋpo	koŋpo	k o ŋ p o	k o ŋ - - - - - - p o - -	465		
1492	Bakairi	RAINING OR RAIN	kopə	kopə	k o p ə	k o - - - - - - - p ə - -	465		
1493	Hixkaryána	RAINING OR RAIN	tuna	tuna	t u n a	t u - n a	466		
1494	Ikpeng	RAINING OR RAIN	koŋpo	koŋpo	k o ŋ p o	k o ŋ - - - - - - p o - -	465		
1495	Ingarikó	RAINING OR RAIN	tuna	tuna	t u n a	t u - n a	466		
1496	Kari'ña	RAINING OR RAIN	konopo	konopo	k o n o p o	k o n - - - - - o p o - -	465		
1497	Karijona	RAINING OR RAIN	konoho	konoho	k o n o h o	k o n - - - - - o h o - -	465		
1498	Kuikuro	RAINING OR RAIN	koŋoho	koŋoho	k o ŋ o h o	k o ŋ - - - - - o h o - -	465		
1499	Macushi	RAINING OR RAIN	konoʔ	konoʔ	k o n o ʔ	k o n - - - - - o ʔ - - -	465		
1500	Mapoyo	RAINING OR RAIN	jatɨʔtinɨ	jatɨʔtinɨ	j a t ɨ ʔ t i n ɨ	j a t ɨ ʔ t i n ɨ	468		
1501	Panare	RAINING OR RAIN	kanoʔ; konoʔ	kanoʔ	k a n o ʔ	k a n - - - - - o ʔ - - -	465		
1502	Panare	RAINING OR RAIN	kanoʔ; konoʔ	konoʔ	k o n o ʔ	k o n - - - - - o ʔ - - -	465		
1503	Pemón	RAINING OR RAIN	konok	konok	k o n o k	k o n - - - - - o k - - -	465		
1504	Tamanaku	RAINING OR RAIN	kanepo	kanepo	k a n e p o	k a n - - - - - e p o - -	465		
1505	Tiriyó	RAINING OR RAIN	konopo	konopo	k o n o p o	k o n - - - - - o p o - -	465		
1506	Waimiri-Atroari	RAINING OR RAIN	ɲawa	ɲawa	ɲ a w a	ɲ a w a	467		
1507	Waiwai	RAINING OR RAIN	tuuna	tuuna	t u u n a	t u u n a	466		
1508	Wayana	RAINING OR RAIN	kopə	kopə	k o p ə	k o - - - - - - - p ə - -	465		
1509	Werikyana	RAINING OR RAIN	konoho	konoho	k o n o h o	k o n - - - - - o h o - -	465		
1510	Yawarana	RAINING OR RAIN	kənapo-wəəperi	kənapowəəperi	k ə n a p o w ə ə p e r i	k ə n a p o w ə ə p e r i	465		
1511	Ye'kwana	RAINING OR RAIN	konoho	konoho	k o n o h o	k o n - - - - - o h o - -	465		
1512	Yukpa	RAINING OR RAIN	kejopo	kejopo	k e j o p o	k e j - - - - - o p o - -	465		
1513	Akawaio	RED	suweju	suweju	s u w e j u	s u w - e j u	471		
1514	Apalaí	RED	t-aʔpi-re	taʔpire	t a ʔ p i r e	t a ʔ p - i r - - e	469		
1515	Arara	RED	t-ɨt͡ʃimi-le	tɨt͡ʃimile	t ɨ t͡ʃ i m i l e	t ɨ t͡ʃ i m i l e	473		
1516	Bakairi	RED	t-apabi-lẽ-ĩ	tapabilẽĩ	t a p a b i l ẽ ĩ	t a p a b i l ẽ ĩ	475		
1517	Hixkaryána	RED	t-ut͡ʃu-rʲe	tut͡ʃurʲe	t u t͡ʃ u rʲ e	t u t͡ʃ u rʲ e	472		
